ruangan,penghuni,jarak_meter
Ruang_Delphinium,56,5.72
Ruang_Gladiol,33,33.71
Ruang_Heather,39,38.05
Ruang_Honeysuckle,62,8.93
Ruang_Impatiens,60,13.98
Ruang_Larkspur,67,12.43
Ruang_Mimosa,31,8.6
Ruang_Orchid,39,7.83
Ruang_Periwinkle,44,23.84
Ruang_QueenAnne,37,7.92
Ruang_Rhododendron,46,11.94
Ruang_Sunflower,66,12.81
Ruang_Tuberose,68,48.23
Ruang_Violet,53,29.67
Ruang_Wallflower,36,21.43
Ruang_Xeranthemum,59,9.62
Ruang_YuccaBloom,60,6.74
Ruang_Zephyranthes,52,18.02
Ruang_AcaciaBloom,54,27.36
Ruang_Balsam,53,13.2
Ruang_Coreopsis,60,25.25
Ruang_Echinacea,31,29.01
Ruang_ForgetMeNot,38,12.49
Ruang_Gazania,45,48.65
Ruang_Jacaranda,35,18.81
Ruang_Lantana,55,32.33
Ruang_MorningGlory,40,6.36
Ruang_Nemesia,64,8.22
Ruang_Oxalis,44,49.04
Ruang_Plumeria,41,24.58
Ruang_Statice,69,24.28
Ruang_Verbascum,64,10.08
Ruang_Waterlily,44,40.62
Ruang_ZebraPlant,36,27.96
Ruang_Melati,41,26.86
Ruang_Mawar,45,9.86
Ruang_Anggrek,51,35.5
Ruang_Tulip,65,42.49
Ruang_Matahari,52,10.72
Ruang_Lili,38,28.0
Ruang_Kamboja,33,18.53
Ruang_Kenanga,64,14.05
Ruang_Dahlia,34,27.19
Ruang_Teratai,34,39.37
Ruang_Flamboyan,67,8.39
Ruang_Kana,59,38.2
Ruang_Bougenvil,69,36.86
Ruang_Anyelir,60,19.79
Ruang_Krisan,51,18.35
Ruang_Lavender,31,37.12
Ruang_Sakura,61,45.18
Ruang_Azalea,50,15.73
Ruang_Gardenia,65,36.57
Ruang_Iris,31,22.17
Ruang_Peony,62,16.44
Ruang_Begonia,53,30.43
Ruang_Magnolia,68,8.9
Ruang_Camelia,68,25.96
Ruang_Zinnia,60,32.6
Ruang_Aster,45,25.59
Ruang_Jasmine,53,40.41
Ruang_Hydrangea,65,47.13
Ruang_Freesia,63,17.05
Ruang_Poppy,38,24.95
Ruang_Ranunculus,47,32.23
Ruang_Marigold,70,39.57
Ruang_Verbena,48,36.93
Ruang_Petunia,36,39.79
Ruang_Geranium,57,29.95
Ruang_Cosmos,60,9.5
Ruang_Edelweis,38,10.79
Ruang_Bromelia,67,48.05
Ruang_Heliconia,62,42.68
Ruang_Cempaka,34,5.08
Ruang_Wijayakusuma,44,13.38
Ruang_SedapMalam,69,14.04
Ruang_TapakDara,47,40.27
Ruang_PacarAir,32,30.97
Ruang_BungaSepatu,51,23.07
Ruang_Asoka,44,14.48
Ruang_NusaIndah,52,17.85
Ruang_Kantil,59,49.62
Ruang_Kecubung,41,33.4
Ruang_Soka,38,9.25
Ruang_Lotus,50,24.47
Ruang_Bluebell,58,33.31
Ruang_Daffodil,48,31.75
Ruang_Foxglove,39,43.62
Ruang_Hibiscus,42,14.27
Ruang_Lilac,55,41.31
Ruang_Narcissus,58,6.18
Ruang_Oleander,53,34.52
Ruang_Primrose,62,38.04
Ruang_Snapdragon,31,42.56
Ruang_Wisteria,52,45.73
Ruang_Yarrow,50,48.39
Ruang_Amaryllis,40,12.16
Ruang_Anemone,32,24.52
Ruang_Buttercup,46,26.76
Ruang_Carnation,36,16.91
Ruang_Delphinium,67,30.01
Ruang_Gladiol,59,20.96
Ruang_Heather,67,17.58
Ruang_Honeysuckle,61,11.36
Ruang_Impatiens,50,22.66
Ruang_Larkspur,59,12.71
Ruang_Mimosa,56,29.5
Ruang_Orchid,30,6.14
Ruang_Periwinkle,37,36.65
Ruang_QueenAnne,34,48.17
Ruang_Rhododendron,30,24.75
Ruang_Sunflower,62,41.08
Ruang_Tuberose,53,36.6
Ruang_Violet,39,12.72
Ruang_Wallflower,64,44.91
Ruang_Xeranthemum,34,30.44
Ruang_YuccaBloom,66,47.55
Ruang_Zephyranthes,48,19.99
Ruang_AcaciaBloom,54,8.68
Ruang_Balsam,70,25.38
Ruang_Coreopsis,50,16.7
Ruang_Echinacea,68,47.11
Ruang_ForgetMeNot,49,27.82
Ruang_Gazania,30,40.22
Ruang_Jacaranda,39,38.09
Ruang_Lantana,34,22.77
Ruang_MorningGlory,54,43.04
Ruang_Nemesia,34,18.66
Ruang_Oxalis,47,37.9
Ruang_Plumeria,70,20.91
Ruang_Statice,45,31.19
Ruang_Verbascum,60,19.74
Ruang_Waterlily,31,42.44
Ruang_ZebraPlant,66,11.42
Ruang_Melati,36,32.21
Ruang_Mawar,41,19.47
Ruang_Anggrek,53,46.28
Ruang_Tulip,54,27.67
Ruang_Matahari,67,39.72
Ruang_Lili,53,26.14
Ruang_Kamboja,39,38.25
Ruang_Kenanga,50,22.27
Ruang_Dahlia,69,22.26
Ruang_Teratai,57,31.69
Ruang_Flamboyan,43,20.98
Ruang_Kana,35,37.26
Ruang_Bougenvil,61,23.51
Ruang_Anyelir,56,7.75
Ruang_Krisan,37,21.51
Ruang_Lavender,55,44.1
Ruang_Sakura,61,7.87
Ruang_Azalea,49,12.38
Ruang_Gardenia,35,39.95
Ruang_Iris,46,27.43
Ruang_Peony,63,28.97
Ruang_Begonia,44,13.97
Ruang_Magnolia,36,36.34
Ruang_Camelia,51,38.0
Ruang_Zinnia,59,38.37
Ruang_Aster,62,28.61
Ruang_Jasmine,35,33.62
Ruang_Hydrangea,52,40.39
Ruang_Freesia,38,34.99
Ruang_Poppy,56,26.71
Ruang_Ranunculus,33,42.57
Ruang_Marigold,55,33.42
Ruang_Verbena,49,23.65
Ruang_Petunia,46,41.29
Ruang_Geranium,68,6.85
Ruang_Cosmos,32,43.53
Ruang_Edelweis,32,30.74
Ruang_Bromelia,44,47.64
Ruang_Heliconia,65,16.05
Ruang_Cempaka,69,43.76
Ruang_Wijayakusuma,37,42.75
Ruang_SedapMalam,32,6.57
Ruang_TapakDara,58,34.8
Ruang_PacarAir,69,12.51
Ruang_BungaSepatu,48,41.85
Ruang_Asoka,46,14.54
Ruang_NusaIndah,54,40.3
Ruang_Kantil,58,6.55
Ruang_Kecubung,69,38.04
Ruang_Soka,53,16.1
Ruang_Lotus,69,49.71
Ruang_Bluebell,57,13.1
Ruang_Daffodil,35,12.24
Ruang_Foxglove,49,39.03
Ruang_Hibiscus,61,42.52
Ruang_Lilac,70,10.11
Ruang_Narcissus,59,43.37
Ruang_Oleander,64,41.3
Ruang_Primrose,35,20.6
Ruang_Snapdragon,49,38.98
Ruang_Wisteria,57,10.8
Ruang_Yarrow,66,43.24
Ruang_Amaryllis,30,25.88
Ruang_Anemone,39,38.87
Ruang_Buttercup,45,21.46
Ruang_Carnation,45,48.65
Ruang_Delphinium,30,43.22
Ruang_Gladiol,52,44.25
Ruang_Heather,40,49.09
Ruang_Honeysuckle,35,22.06
Ruang_Impatiens,60,47.59
Ruang_Larkspur,66,35.53
Ruang_Mimosa,53,24.23
Ruang_Orchid,70,16.24
Ruang_Periwinkle,64,31.81
Ruang_QueenAnne,43,29.21
Ruang_Rhododendron,39,37.05
Ruang_Sunflower,38,46.74
Ruang_Tuberose,30,35.52
Ruang_Violet,59,26.5
Ruang_Wallflower,70,40.76
Ruang_Xeranthemum,60,31.38
Ruang_YuccaBloom,58,20.57
Ruang_Zephyranthes,48,38.3
Ruang_AcaciaBloom,62,44.43
Ruang_Balsam,38,34.39
Ruang_Coreopsis,34,45.03
Ruang_Echinacea,38,23.08
Ruang_ForgetMeNot,53,48.59
Ruang_Gazania,61,40.05
Ruang_Jacaranda,32,35.37
Ruang_Lantana,40,25.99
Ruang_MorningGlory,54,40.69
Ruang_Nemesia,52,40.8
Ruang_Oxalis,65,29.76
Ruang_Plumeria,31,45.5
Ruang_Statice,36,47.97
Ruang_Verbascum,59,39.18
Ruang_Waterlily,49,23.7
Ruang_ZebraPlant,65,45.37
Ruang_Melati,56,46.21
Ruang_Mawar,43,26.61
Ruang_Anggrek,63,14.26
Ruang_Tulip,58,13.72
Ruang_Matahari,63,41.14
Ruang_Lili,51,44.53
Ruang_Kamboja,42,13.55
Ruang_Kenanga,68,32.56
Ruang_Dahlia,64,42.87
Ruang_Teratai,70,28.56
Ruang_Flamboyan,32,24.07
Ruang_Kana,55,37.66
Ruang_Bougenvil,59,18.98
Ruang_Anyelir,66,6.75
Ruang_Krisan,38,28.23
Ruang_Lavender,46,45.43
Ruang_Sakura,64,22.38
Ruang_Azalea,37,22.03
Ruang_Gardenia,68,43.36
Ruang_Iris,56,29.43
Ruang_Peony,56,8.17
Ruang_Begonia,64,23.47
Ruang_Magnolia,49,11.43
Ruang_Camelia,39,39.73
Ruang_Zinnia,68,11.83
Ruang_Aster,39,41.38
Ruang_Jasmine,45,37.31
Ruang_Hydrangea,66,37.61
Ruang_Freesia,34,38.89
Ruang_Poppy,41,17.03
Ruang_Ranunculus,40,45.53
Ruang_Marigold,42,32.68
Ruang_Verbena,51,34.02
Ruang_Petunia,55,23.67
Ruang_Geranium,43,11.78
Ruang_Cosmos,33,17.01
Ruang_Edelweis,69,24.33
Ruang_Bromelia,60,37.93
Ruang_Heliconia,52,47.49
Ruang_Cempaka,53,9.96
Ruang_Wijayakusuma,68,42.08
Ruang_SedapMalam,61,12.76
Ruang_TapakDara,67,34.24
Ruang_PacarAir,31,11.28
Ruang_BungaSepatu,55,33.7
Ruang_Asoka,43,13.06
Ruang_NusaIndah,62,6.19
Ruang_Kantil,32,20.98
Ruang_Kecubung,55,21.81
Ruang_Soka,34,47.79
Ruang_Lotus,58,7.2
Ruang_Bluebell,44,10.55
Ruang_Daffodil,43,31.96
Ruang_Foxglove,66,39.54
Ruang_Hibiscus,35,24.29
Ruang_Lilac,37,7.21
Ruang_Narcissus,66,42.34
Ruang_Oleander,62,40.63
Ruang_Primrose,42,16.79
Ruang_Snapdragon,44,47.38
Ruang_Wisteria,41,22.99
Ruang_Yarrow,49,7.91
Ruang_Amaryllis,63,39.23
Ruang_Anemone,39,16.45
Ruang_Buttercup,44,38.95
Ruang_Carnation,57,47.32
Ruang_Delphinium,65,47.47
Ruang_Gladiol,63,6.21
Ruang_Heather,43,33.08
Ruang_Honeysuckle,34,21.97
Ruang_Impatiens,39,16.44
Ruang_Larkspur,62,36.18
Ruang_Mimosa,62,21.59
Ruang_Orchid,41,43.76
Ruang_Periwinkle,67,45.6
Ruang_QueenAnne,63,32.97
Ruang_Rhododendron,45,48.49
Ruang_Sunflower,39,36.0
Ruang_Tuberose,30,26.37
Ruang_Violet,47,10.48
Ruang_Wallflower,46,9.79
Ruang_Xeranthemum,32,13.81
Ruang_YuccaBloom,63,14.64
Ruang_Zephyranthes,43,33.97
Ruang_AcaciaBloom,49,23.2
Ruang_Balsam,49,42.19
Ruang_Coreopsis,61,44.08
Ruang_Echinacea,48,35.26
Ruang_ForgetMeNot,46,12.52
Ruang_Gazania,64,44.77
Ruang_Jacaranda,57,18.15
Ruang_Lantana,64,22.11
Ruang_MorningGlory,69,36.18
Ruang_Nemesia,57,10.42
Ruang_Oxalis,65,13.51
Ruang_Plumeria,44,22.62
Ruang_Statice,68,33.26
Ruang_Verbascum,40,38.26
Ruang_Waterlily,66,18.29
Ruang_ZebraPlant,39,16.58
Ruang_Melati,54,45.34
Ruang_Mawar,61,41.67
Ruang_Anggrek,37,37.54
Ruang_Tulip,42,31.64
Ruang_Matahari,46,44.0
Ruang_Lili,62,42.53
Ruang_Kamboja,65,30.83
Ruang_Kenanga,36,9.83
Ruang_Dahlia,49,37.62
Ruang_Teratai,63,19.58
Ruang_Flamboyan,48,24.41
Ruang_Kana,47,41.55
Ruang_Bougenvil,41,27.85
Ruang_Anyelir,43,32.89
Ruang_Krisan,46,6.41
Ruang_Lavender,40,32.58
Ruang_Sakura,39,24.63
Ruang_Azalea,43,45.69
Ruang_Gardenia,64,5.99
Ruang_Iris,67,14.41
Ruang_Peony,42,29.89
Ruang_Begonia,56,35.35
Ruang_Magnolia,60,30.76
Ruang_Camelia,33,15.0
Ruang_Zinnia,30,16.72
Ruang_Aster,42,24.08
Ruang_Jasmine,56,8.1
Ruang_Hydrangea,66,21.43
Ruang_Freesia,31,28.27
Ruang_Poppy,46,9.48
Ruang_Ranunculus,40,30.43
Ruang_Marigold,54,18.2
Ruang_Verbena,33,21.15
Ruang_Petunia,51,46.81
Ruang_Geranium,32,35.78
Ruang_Cosmos,53,13.03
Ruang_Edelweis,60,47.01
Ruang_Bromelia,40,15.09
Ruang_Heliconia,51,32.81
Ruang_Cempaka,35,11.41
Ruang_Wijayakusuma,56,48.24
Ruang_SedapMalam,62,41.08
Ruang_TapakDara,47,9.94
Ruang_PacarAir,46,5.6
Ruang_BungaSepatu,59,48.34
Ruang_Asoka,45,7.19
Ruang_NusaIndah,34,5.85
Ruang_Kantil,46,5.57
Ruang_Kecubung,56,36.74
Ruang_Soka,65,26.09
Ruang_Lotus,40,49.21
Ruang_Bluebell,52,22.06
Ruang_Daffodil,61,24.63
Ruang_Foxglove,33,46.88
Ruang_Hibiscus,57,33.04
Ruang_Lilac,50,25.21
Ruang_Narcissus,56,22.03
Ruang_Oleander,45,48.07
Ruang_Primrose,41,24.2
Ruang_Snapdragon,31,26.57
Ruang_Wisteria,31,48.18
Ruang_Yarrow,43,7.65
Ruang_Amaryllis,59,6.38
Ruang_Anemone,48,25.65
Ruang_Buttercup,52,44.42
Ruang_Carnation,39,9.24
Ruang_Delphinium,33,26.97
Ruang_Gladiol,69,27.27
Ruang_Heather,70,46.71
Ruang_Honeysuckle,36,22.58
Ruang_Impatiens,47,39.03
Ruang_Larkspur,61,8.57
Ruang_Mimosa,67,14.64
Ruang_Orchid,33,17.79
Ruang_Periwinkle,65,19.78
Ruang_QueenAnne,35,36.85
Ruang_Rhododendron,52,16.53
Ruang_Sunflower,62,42.33
Ruang_Tuberose,70,9.75
Ruang_Violet,68,31.04
Ruang_Wallflower,43,49.59
Ruang_Xeranthemum,66,33.7
Ruang_YuccaBloom,38,25.42
Ruang_Zephyranthes,32,15.43
Ruang_AcaciaBloom,68,27.45
Ruang_Balsam,40,41.48
Ruang_Coreopsis,40,45.98
Ruang_Echinacea,59,23.65
Ruang_ForgetMeNot,35,22.06
Ruang_Gazania,58,16.81
Ruang_Jacaranda,40,42.65
Ruang_Lantana,49,29.79
Ruang_MorningGlory,46,21.78
Ruang_Nemesia,39,48.73
Ruang_Oxalis,38,6.9
Ruang_Plumeria,45,31.29
Ruang_Statice,38,23.05
Ruang_Verbascum,45,10.0
Ruang_Waterlily,53,6.15
Ruang_ZebraPlant,70,36.2
Ruang_Melati,69,18.33
Ruang_Mawar,40,41.91
Ruang_Anggrek,58,36.92
Ruang_Tulip,66,12.28
Ruang_Matahari,34,23.77
Ruang_Lili,54,46.04
Ruang_Kamboja,32,30.83
Ruang_Kenanga,33,32.01
Ruang_Dahlia,52,43.04
Ruang_Teratai,43,43.46
Ruang_Flamboyan,42,40.63
Ruang_Kana,33,31.64
Ruang_Bougenvil,31,22.3
Ruang_Anyelir,53,26.52
Ruang_Krisan,51,21.13
Ruang_Lavender,55,13.03
Ruang_Sakura,44,42.88
Ruang_Azalea,33,20.66
Ruang_Gardenia,41,25.32
Ruang_Iris,42,9.2
Ruang_Peony,63,44.12
Ruang_Begonia,50,9.53
Ruang_Magnolia,32,20.93
Ruang_Camelia,67,25.29
Ruang_Zinnia,67,29.63
Ruang_Aster,38,45.73
Ruang_Jasmine,66,48.83
Ruang_Hydrangea,30,29.02
Ruang_Freesia,34,33.47
Ruang_Poppy,30,8.89
Ruang_Ranunculus,51,21.3
Ruang_Marigold,67,13.21
Ruang_Verbena,57,49.45
Ruang_Petunia,59,35.72
Ruang_Geranium,64,34.36
Ruang_Cosmos,65,49.66
Ruang_Edelweis,33,20.28
Ruang_Bromelia,57,28.27
Ruang_Heliconia,39,16.73
Ruang_Cempaka,50,25.4
Ruang_Wijayakusuma,41,17.31
Ruang_SedapMalam,66,11.92
Ruang_TapakDara,35,47.58
Ruang_PacarAir,62,42.98
Ruang_BungaSepatu,58,16.82
Ruang_Asoka,58,21.46
Ruang_NusaIndah,43,21.07
Ruang_Kantil,46,42.53
Ruang_Kecubung,40,29.58
Ruang_Soka,39,9.65
Ruang_Lotus,33,29.59
Ruang_Bluebell,43,37.57
Ruang_Daffodil,60,49.83
Ruang_Foxglove,61,36.56
Ruang_Hibiscus,32,33.79
Ruang_Lilac,45,46.15
Ruang_Narcissus,39,14.89
Ruang_Oleander,66,11.26
Ruang_Primrose,52,12.27
Ruang_Snapdragon,35,32.79
Ruang_Wisteria,60,5.48
Ruang_Yarrow,30,30.29
Ruang_Amaryllis,60,30.0
Ruang_Anemone,56,37.34
Ruang_Buttercup,58,39.2
Ruang_Carnation,59,36.8
Ruang_Delphinium,52,30.7
Ruang_Gladiol,66,19.71
Ruang_Heather,53,38.64
Ruang_Honeysuckle,61,39.23
Ruang_Impatiens,59,10.28
Ruang_Larkspur,30,46.08
Ruang_Mimosa,49,7.56
Ruang_Orchid,63,37.85
Ruang_Periwinkle,45,24.49
Ruang_QueenAnne,40,30.32
Ruang_Rhododendron,36,48.97
Ruang_Sunflower,53,17.23
Ruang_Tuberose,70,49.66
Ruang_Violet,57,24.2
Ruang_Wallflower,42,10.0
Ruang_Xeranthemum,38,30.69
Ruang_YuccaBloom,45,19.52
Ruang_Zephyranthes,58,23.15
Ruang_AcaciaBloom,45,17.15
Ruang_Balsam,69,49.98
Ruang_Coreopsis,34,32.04
Ruang_Echinacea,41,41.84
Ruang_ForgetMeNot,55,11.26
Ruang_Gazania,57,43.05
Ruang_Jacaranda,39,48.98
Ruang_Lantana,54,28.17
Ruang_MorningGlory,70,41.27
Ruang_Nemesia,68,8.69
Ruang_Oxalis,32,21.03
Ruang_Plumeria,60,49.69
Ruang_Statice,40,25.52
Ruang_Verbascum,54,33.13
Ruang_Waterlily,42,39.0
Ruang_ZebraPlant,37,11.08
Ruang_Melati,33,41.96
Ruang_Mawar,70,15.38
Ruang_Anggrek,57,14.39
Ruang_Tulip,62,37.67
Ruang_Matahari,37,34.24
Ruang_Lili,50,25.55
Ruang_Kamboja,49,34.71
Ruang_Kenanga,46,39.44
Ruang_Dahlia,48,24.67
Ruang_Teratai,47,27.77
Ruang_Flamboyan,47,41.29
Ruang_Kana,52,15.74
Ruang_Bougenvil,39,5.95
Ruang_Anyelir,70,12.48
Ruang_Krisan,42,20.72
Ruang_Lavender,58,37.24
Ruang_Sakura,70,37.6
Ruang_Azalea,57,33.69
Ruang_Gardenia,49,23.15
Ruang_Iris,55,38.36
Ruang_Peony,65,41.34
Ruang_Begonia,44,43.7
Ruang_Magnolia,36,7.58
Ruang_Camelia,65,14.91
Ruang_Zinnia,67,38.59
Ruang_Aster,61,43.64
Ruang_Jasmine,37,37.17
Ruang_Hydrangea,39,31.54
Ruang_Freesia,52,20.32
Ruang_Poppy,36,43.19
Ruang_Ranunculus,55,20.95
Ruang_Marigold,53,49.63
Ruang_Verbena,57,48.26
Ruang_Petunia,52,11.11
Ruang_Geranium,44,17.47
Ruang_Cosmos,49,48.5
Ruang_Edelweis,46,18.58
Ruang_Bromelia,46,24.57
Ruang_Heliconia,32,16.82
Ruang_Cempaka,67,26.38
Ruang_Wijayakusuma,39,11.09
Ruang_SedapMalam,43,20.86
Ruang_TapakDara,30,9.21
Ruang_PacarAir,37,25.09
Ruang_BungaSepatu,44,37.27
Ruang_Asoka,40,37.71
Ruang_NusaIndah,61,34.98
Ruang_Kantil,30,36.69
Ruang_Kecubung,62,30.56
Ruang_Soka,67,21.1
Ruang_Lotus,70,5.97
Ruang_Bluebell,43,25.92
Ruang_Daffodil,32,48.38
Ruang_Foxglove,32,10.16
Ruang_Hibiscus,58,21.55
Ruang_Lilac,35,24.44
Ruang_Narcissus,48,20.28
Ruang_Oleander,39,22.67
Ruang_Primrose,48,11.7
Ruang_Snapdragon,49,22.99
Ruang_Wisteria,59,18.32
Ruang_Yarrow,55,18.4
Ruang_Amaryllis,36,43.45
Ruang_Anemone,59,16.53
Ruang_Buttercup,59,43.89
Ruang_Carnation,31,47.62
Ruang_Delphinium,46,7.99
Ruang_Gladiol,50,30.17
Ruang_Heather,64,31.45
Ruang_Honeysuckle,56,37.41
Ruang_Impatiens,53,19.28
Ruang_Larkspur,69,6.72
Ruang_Mimosa,70,12.53
Ruang_Orchid,41,27.31
Ruang_Periwinkle,46,38.77
Ruang_QueenAnne,70,40.0
Ruang_Rhododendron,46,40.06
Ruang_Sunflower,54,36.21
Ruang_Tuberose,33,27.29
Ruang_Violet,39,6.44
Ruang_Wallflower,55,46.47
Ruang_Xeranthemum,31,33.8
Ruang_YuccaBloom,67,34.95
Ruang_Zephyranthes,43,16.06
Ruang_AcaciaBloom,30,29.44
Ruang_Balsam,47,29.77
Ruang_Coreopsis,63,43.84
Ruang_Echinacea,40,7.48
Ruang_ForgetMeNot,35,45.75
Ruang_Gazania,42,48.97
Ruang_Jacaranda,43,17.24
Ruang_Lantana,46,28.73
Ruang_MorningGlory,60,49.12
Ruang_Nemesia,30,14.67
Ruang_Oxalis,64,27.32
Ruang_Plumeria,48,36.29
Ruang_Statice,60,44.56
Ruang_Verbascum,47,46.41
Ruang_Waterlily,65,24.73
Ruang_ZebraPlant,45,36.8
Ruang_Melati,49,38.67
Ruang_Mawar,66,41.8
Ruang_Anggrek,37,46.91
Ruang_Tulip,62,15.53
Ruang_Matahari,65,10.86
Ruang_Lili,60,49.41
Ruang_Kamboja,46,29.69
Ruang_Kenanga,58,16.82
Ruang_Dahlia,47,25.26
Ruang_Teratai,59,5.25
Ruang_Flamboyan,47,40.14
Ruang_Kana,66,24.1
Ruang_Bougenvil,41,47.37
Ruang_Anyelir,57,26.22
Ruang_Krisan,58,30.62
Ruang_Lavender,37,46.27
Ruang_Sakura,45,26.62
Ruang_Azalea,41,47.26
Ruang_Gardenia,69,32.9
Ruang_Iris,33,22.22
Ruang_Peony,63,39.2
Ruang_Begonia,66,48.31
Ruang_Magnolia,64,9.68
Ruang_Camelia,46,31.3
Ruang_Zinnia,37,33.26
Ruang_Aster,53,19.56
Ruang_Jasmine,60,14.74
Ruang_Hydrangea,34,39.57
Ruang_Freesia,62,22.93
Ruang_Poppy,44,42.46
Ruang_Ranunculus,49,43.73
Ruang_Marigold,40,21.39
Ruang_Verbena,49,5.88
Ruang_Petunia,35,38.11
Ruang_Geranium,34,21.65
Ruang_Cosmos,32,29.96
Ruang_Edelweis,53,17.68
Ruang_Bromelia,65,26.6
Ruang_Heliconia,63,10.99
Ruang_Cempaka,64,16.88
Ruang_Wijayakusuma,64,47.63
Ruang_SedapMalam,41,39.95
Ruang_TapakDara,62,9.22
Ruang_PacarAir,65,15.93
Ruang_BungaSepatu,60,9.57
Ruang_Asoka,39,42.74
Ruang_NusaIndah,46,32.88
Ruang_Kantil,65,5.76
Ruang_Kecubung,31,9.32
Ruang_Soka,56,26.71
Ruang_Lotus,52,5.48
Ruang_Bluebell,55,31.33
Ruang_Daffodil,56,9.41
Ruang_Foxglove,61,16.28
Ruang_Hibiscus,56,48.08
Ruang_Lilac,65,23.43
Ruang_Narcissus,48,28.3
Ruang_Oleander,31,43.79
Ruang_Primrose,66,19.19
Ruang_Snapdragon,44,42.41
Ruang_Wisteria,64,32.79
Ruang_Yarrow,30,36.31
Ruang_Amaryllis,34,16.44
Ruang_Anemone,41,48.06
Ruang_Buttercup,57,15.41
Ruang_Carnation,56,23.9
Ruang_Delphinium,30,10.96
Ruang_Gladiol,37,35.64
Ruang_Heather,62,14.93
Ruang_Honeysuckle,43,8.09
Ruang_Impatiens,46,24.12
Ruang_Larkspur,49,12.35
Ruang_Mimosa,33,29.48
Ruang_Orchid,69,8.15
Ruang_Periwinkle,42,46.84
Ruang_QueenAnne,40,36.84
Ruang_Rhododendron,52,18.0
Ruang_Sunflower,34,10.54
Ruang_Tuberose,48,19.91
Ruang_Violet,53,43.59
Ruang_Wallflower,31,18.83
Ruang_Xeranthemum,38,38.25
Ruang_YuccaBloom,33,44.66
Ruang_Zephyranthes,68,20.96
Ruang_AcaciaBloom,31,15.21
Ruang_Balsam,53,19.36
Ruang_Coreopsis,48,33.8
Ruang_Echinacea,41,32.24
Ruang_ForgetMeNot,46,22.97
Ruang_Gazania,45,28.21
Ruang_Jacaranda,37,8.07
Ruang_Lantana,30,30.82
Ruang_MorningGlory,59,26.92
Ruang_Nemesia,33,45.84
Ruang_Oxalis,36,16.31
Ruang_Plumeria,46,45.16
Ruang_Statice,37,18.02
Ruang_Verbascum,38,41.77
Ruang_Waterlily,58,20.05
Ruang_ZebraPlant,62,30.06
Ruang_Melati,31,30.93
Ruang_Mawar,66,33.72
Ruang_Anggrek,60,49.4
Ruang_Tulip,40,27.92
Ruang_Matahari,62,23.08
Ruang_Lili,36,43.0
Ruang_Kamboja,32,48.4
Ruang_Kenanga,68,24.76
Ruang_Dahlia,33,15.94
Ruang_Teratai,54,40.33
Ruang_Flamboyan,41,5.4
Ruang_Kana,30,5.4
Ruang_Bougenvil,45,41.68
Ruang_Anyelir,40,20.86
Ruang_Krisan,60,23.09
Ruang_Lavender,43,47.82
Ruang_Sakura,33,15.37
Ruang_Azalea,57,21.54
Ruang_Gardenia,45,17.25
Ruang_Iris,46,39.46
Ruang_Peony,47,37.52
Ruang_Begonia,45,28.38
Ruang_Magnolia,57,9.47
Ruang_Camelia,39,24.63
Ruang_Zinnia,66,38.31
Ruang_Aster,67,36.64
Ruang_Jasmine,32,6.03
Ruang_Hydrangea,42,40.75
Ruang_Freesia,67,48.7
Ruang_Poppy,48,6.65
Ruang_Ranunculus,64,33.36
Ruang_Marigold,37,33.5
Ruang_Verbena,36,25.27
Ruang_Petunia,35,43.31
Ruang_Geranium,40,40.5
Ruang_Cosmos,66,7.58
Ruang_Edelweis,60,35.36
Ruang_Bromelia,57,44.58
Ruang_Heliconia,46,20.37
Ruang_Cempaka,30,48.79
Ruang_Wijayakusuma,59,33.9
Ruang_SedapMalam,38,12.56
Ruang_TapakDara,32,26.96
Ruang_PacarAir,51,7.22
Ruang_BungaSepatu,36,10.42
Ruang_Asoka,51,16.54
Ruang_NusaIndah,64,40.37
Ruang_Kantil,53,21.22
Ruang_Kecubung,44,42.77
Ruang_Soka,43,21.85
Ruang_Lotus,34,26.39
Ruang_Bluebell,50,5.81
Ruang_Daffodil,48,11.08
Ruang_Foxglove,35,6.22
Ruang_Hibiscus,66,44.9
Ruang_Lilac,46,41.06
Ruang_Narcissus,48,46.12
Ruang_Oleander,56,43.61
Ruang_Primrose,65,14.61
Ruang_Snapdragon,64,9.64
Ruang_Wisteria,35,44.18
Ruang_Yarrow,42,32.98
Ruang_Amaryllis,32,32.34
Ruang_Anemone,36,31.02
Ruang_Buttercup,30,30.15
Ruang_Carnation,32,9.87
Ruang_Delphinium,63,46.46
Ruang_Gladiol,44,6.0
Ruang_Heather,33,47.91
Ruang_Honeysuckle,63,38.67
Ruang_Impatiens,56,44.77
Ruang_Larkspur,64,13.57
Ruang_Mimosa,68,31.83
Ruang_Orchid,66,26.76
Ruang_Periwinkle,33,15.24
Ruang_QueenAnne,45,37.64
Ruang_Rhododendron,56,33.37
Ruang_Sunflower,43,40.72
Ruang_Tuberose,70,49.84
Ruang_Violet,59,27.65
Ruang_Wallflower,31,34.21
Ruang_Xeranthemum,43,37.7
Ruang_YuccaBloom,56,27.86
Ruang_Zephyranthes,35,20.39
Ruang_AcaciaBloom,57,17.16
Ruang_Balsam,39,46.37
Ruang_Coreopsis,39,46.36
Ruang_Echinacea,44,9.21
Ruang_ForgetMeNot,51,45.19
Ruang_Gazania,66,35.18
Ruang_Jacaranda,45,21.6
Ruang_Lantana,57,47.31
Ruang_MorningGlory,55,28.8
